index,id,is_relevant,target,source,action,action_type,location,date,country,year,news
a1ByrN72e7o_RITCFGiXSajM_eTe-news_satp_13.tsv_498,55685,TRUE,"['Security Force', 'SF', 'personnel', 'Special Police Officers', 'SPOs', 'police', 'constables', 'others', 'personnel', 'Police']","['Communist Party of India Maoist', 'CPI Maoist', 'cadres', 'Maoists']","['blew', 'killing']","['Bombing/Explosion', 'Bombing/Explosion']","['Gatan', 'Katekalyan', 'Dantewada', 'Gatan', 'Katekalyan']",['June 10'],india,2011,"The Communist Party of India Maoist (CPI Maoist) cadres on June 10 (today) blew up an anti landmine vehicle, killing 10 Security Force (SF) personnel seven Special Police Officers (SPOs) and three police constables and injuring three others at bridge near Gatan village in Katekalyan area in Dantewada District, reports The Hindu. The anti landmine vehicle of the SFs was approaching a bridge near Gatan village near Katekalyan when the Maoists triggered a powerful blast and opened indiscriminate fire on the personnel who came out of the badly damaged vehicle, Police said."
a8mgDPoeuYvZOPwv85WXipOS2tpe-news_satp_13.tsv_497,54238,TRUE,['shopkeeper'],['Militants'],"['shot', 'injured']","['Armed Assault', 'Armed Assault']",['Baramulla'],['February 28'],india,2011,"Militants on February 28 shot at and injured a shopkeeper, identified as Nazir Ahmad, at his shop in the Kreeri area of Baramulla District, Daily Excelsior reported. Nazir succumbed to his injuries later."
a1A7M1g2L2zD1BWehicLRr.JXinC-news_satp_13.tsv_488,26333,FALSE,[],[],[],,[],[],india,2013,"Nationalist Socialist Council of Nagaland Khaplang (NSCN K) alleged that on March 25, Dr. Mhonjan Kithan, Zonal Leprosy Officer Mon District, a staff and the driver were arrested and beaten by Khole Kitovi faction of NSCN (NSCN KK), reports Nagaland Post on April 9. The trio allegedly strayed inside NSCN KK camp situated on the main road between Longleng and Aboi. NSCN K further alleged that a fine of INR 1 million imposed on Dr. Mhonjan. It said since the ransom could not be paid, the life of Dr. Mhonjan was under threat. NSCN K has further demanded response from the Union Ministry of Home Affairs (MHA) and the Cease Fire Supervisory Board (CFSB) on the NSCN KK camp, which is situated in the main road between Longleng and Aboi."
a9pX4DlDATfsBSMw1cD.PJOBeNK4-news_satp_13.tsv_489,55911,FALSE,[],[],[],,[],[],india,2011,"Madhya Pradesh Police arrested a former cadre of the Students Islamic Movement of India (SIMI) at the Cochin International Airport in Kochi town of Kerala on June 25, reports The Hindu. Flying in from Dubai in an Emirates flight, Salauddin Zainul Abdin (41), was detained upon arrival after Immigration officials were alerted. Abdin, an aide of the former SIMI chief Safdar Nagori, was a native of Nalgonda, Andhra Pradesh, and operated in Mumbai, according to official sources. Wanted in connection with a case in Ujjain, he had fled the country in 1998. He was employed with a construction company in Dubai."
aXR1MzCqzE9_knN.GSpDoJ0Og4D4-news_satp_13.tsv_495,34697,FALSE,[],[],[],,[],[],pakistan,2013,"The Supreme Court during hearing of the suo motu case on September 20 on the deteriorating law and order situation in Karachi headed by Chief Justice Iftikhar Muhammad Chaudhry ordered the Police and Rangers to arrest 1,500 suspected terrorists and 33,000 absconding criminals still at large in Karachi, reports The Express Tribune. He asked the Federal and Provincial Governments to ensure the ongoing targeted operation in Karachi continues to be effective unlike operations in the past. Sindh Advocate General Khalid Javed Khan filed a report on behalf of the Police Inspector General (IG), showing a comparative data of crimes since the targeted operation was launched. The bench asked Khan and the Police IG to ensure this action against the criminals is carried out efficaciously so that this effort does not fail like previous ones. Advocate Shahid Anwar Bajwa filed a report on the action initiated by the Rangers against criminals, but sought confidentiality as well because it contained the political affiliations of the accused. In addition, prosecutor general Shahadat Awan disclosed that there are 110,549 absconders and proclaimed offenders across the province, including 33,665 in Karachi alone. Theyve absconded during the last five years, that is, the tenure of Pakistan Peoples Party (PPP) led Government, he submitted. Moreover, there are 1,500 suspected terrorists who are also on the run, he added. The Supreme Court took exception to Sindh Home Secretarys failure to inform the bench about the number of arms licenses issued in Karachi, reports The News. The Secretary said exact number of arms licenses were not known as the administration was still collecting data in this regard. The bench ordered the Sindh and Federal Governments to submit their reply after going through Ramzan Bhatti Commission as the court will give ruling after reviewing the report of the one man Commission. The Supreme Court said that incidents of extortion, land grabbing and targeted killings were aimed at taking hold of Karachi."
aEFLb24aJDX9ROmrhMmZ.QEnKQjC-news_satp_13.tsv_482,21850,FALSE,[],[],[],,[],[],pakistan,2014,"States (US) authorities on December 2 agreed to step up air strikes, including drone attacks, on Pakistani militants sheltering across the border in Afghanistan, reports The Express Tribune. According to sources, in their meetings with US and Afghan officials, Pakistani officials repeatedly raised the issue of Taliban militants using the northeastern Afghan provinces of Kunar and Nuristan as a launching pad for attacks on its Security Forces in the border regions. Pakistan demanded action against these militants as they have carried out a number of cross border attacks in Pakistans border areas of Dir and Chitral Districts in Khyber Pakhtunkhwa Province and Bajaur and Mohmand Agencies of Federally Administered Tribal Areas (FATA). The sources further added that the Afghan President Dr Ashraf Ghani, who visited Islamabad from November 14 15, was also shown documentary proof of activities of Pakistani militants on Afghan soil. They say that fugitive Tehreek e Taliban Pakistan (TTP) chief Mullah Fazlullah and his loyalists have been sheltering across the border in Afghanistan after they were routed from Swat in a military operation in 2009. Sources said that US authorities have finally realised the gravity of the situation and started a hunt for three top Pakistani militant commanders, Mullah Fazlullah, Maulvi Faqir Muhammad and Mangal Bagh Afridi. Maulvi Faqir is said to be in custody of the Afghan government, while Mullah Fazlullah and Mangal Bagh freely roam around in Afghanistan and mastermind terrorist attacks in Pakistan."
aJij46MUGA1GK7ZCzlPTAa7Bpnje-news_satp_13.tsv_499,40133,FALSE,[],[],[],,[],[],india,2012,"Unconfirmed reports said that Junaid Akram Malik might have been killed by Chotta Hafiz and Rezwan as they feared that Junaid might surrender before SFs. It has been more than three months since Junaid Akram Malik s uncle, a former Hizb ul Mujahideen (HM) militant, left in search of Junaid in higher reaches of Kishtwar, sources said. However, it has been more than three weeks that the communication with the kin has fallen silent as well and there was no mention about Junaid in the intercepts, they added. An uncle of Junaid, whose medico brother Wasim Akram Malik was arrested in the connection of the blast after a probe by the State Police, was engaged in pursuing the accused to surrender."
ai1RCkAUtbJObMLxT6mUQrRUb7TG-news_satp_13.tsv_491,39957,FALSE,[],[],[],,[],[],india,2012,"The Telegraph reports that Meghalaya Director General of Police (DGP) N. Ramachandran, on April 24, said there are indications that some teenagers who were lodged in Garo National Liberation Army (GNLA) camps have returned home. On April 10, the DGP had set a weeks deadline to attack the camps of GNLA if the teenagers were not released by the militant outfit. At least 120 teenagers were recruited by the GNLA to assist the cadres in the camps. The teenagers carry out menial jobs in the camps. The DGP said the primary intention of setting a deadline to the GNLA was not aimed at large scale surrender of the cadres. Our intention was to get back the teenagers from the GNLA camps, the DGP said. The State Police asserted that operations against the GNLA will continue, adds The Shillong Times. The statement came on the eve GNLAs proposed 72 hour bandh (shut down strike) in Ampati and Selsella area in West Garo Hills District from April 25 (today). The GNLA earlier gave a three day deadline to the Government to withdraw its forces engaged in counter insurgency operations. According to Ramachandran, their demand for the withdrawal of security forces clearly indicates that the outfit is under tremendous pressure."
apbeoluQ0UoEo_US80tn7_lL6cbC-news_satp_13.tsv_481,38112,FALSE,[],[],[],,[],[],india,2012,"Three persons, including a Special Police Officer (SPO) Mohammad Rafiq alias Rafi and a woman Parveen Akhter, have been sent to Joint Interrogation Centre (JIC, Jammu) by Poonch Police for sustained questioning in connection with a suspected espionage racket and links with militants in Pakistan, reports Daily Excelsior. While the SPO was allegedly responsible for espionage and other militant activities including transporting arms, ammunition, explosive material, SIM cards etc from the Line of Control (LoC) and supplying them to militants, Parveen Akhter and another person, Bashir Akhter reportedly had links with the militants in Pakistan. As reported earlier, the Police unearthed the terror racket after the arrest of Mohammad Hafiz of Surankote in Poonch district by Srinagar Police. Hafiz had disclosed names of his associates, including Rafi and Parveen Akhter, who were picked up by Poonch Police."
arPO7n5dnDhPM2otkh2cW7Yt9zBm-news_satp_13.tsv_496,24236,FALSE,[],[],[],,[],[],bangladesh,2013,"Meanwhile, United Nations (UN) Secretary General Ban Ki moon in separate letters to Prime Minister Sheikh Hasina and opposition leader Khaleda Zia gave a strong message of an inclusive election and emphasised reaching a consensus before UN Assistant Secretary General (UNASG) for Political Affairs Oscar Fernndez Taranco comes to Dhaka City, reports The Daily Star on November 30 (today). Taranco is due to arrive Dhaka city on December 6 evening with a high profile political mission on a four day visit. His delegation would be comprised of UN officials drawn from the Department of Political Affairs (DPA) and Electoral Assistance Division (EAD). The Foreign Ministry initially denied the news but later said they had received the letter on November 27 and sent it to Prime Ministers Office."
adfnKdfavDk.Gn7FZ0RNUBU4l2Ki-news_satp_13.tsv_490,38799,FALSE,[],[],[],,[],[],india,2012,"Security Forces (SFs) on February 26 killed two Lashkar e Toiba (LeT) militants, identified as Shahnawaz Khandey alias Bilal Ahmed and Mohammad Rafi, in an operation at Bonjwar in Kishtwar District after developing specific information about presence of the two militants in a hideout inside a natural cave, reports Daily Excelsior. An AK 47 rifle, taken away by the two militants after killing Special Police Officer (SPO) Mohammad Hanief on December 8, 2011, was recovered from the possession of the slain militants besides a Chinese pistol, two magazines, 56 rounds, identity card of the SPO and two other identity cards."
ayflhn65LyhHyNbr1.BoBtoQv020-news_satp_13.tsv_486,58380,FALSE,[],[],[],,[],[],india,2011,"Police have busted a Lashkar e Toiba (LeT) module that carried out attacks at Baramulla and Batamaloo on August 25 in which two persons were killed and 13 others were injured, Deputy Inspector General (Central Kashmir) Abdul Gani Mir said on October 27, reports Daily Excelsior. Mir said, On August 25, a blast took place at Baramulla in which a civilian and a Border Security Force (BSF) jawan were killed. An hour later a blast occurred at Batamaloo here in which 13 persons were injured. We launched investigations in both these incidents and it was established that these blasts were carried out on directions of Sopore based Lashkar commander Muza Molvi. Furqan, an ex filtrated militant of LeT was in contact with Muza Molvi and both of them made the ultimate plan of the twin blasts. Mir said that the leads about the involvement of module in militant activities came to fore after the arrest of Muzaffar Ahmad Mir, the militant responsible for the killing of Sajad Ahmad Parray, a Police Constable at Hazratbal on October 14. He said five LeT operatives were arrested from different parts of Valley. A Special Investigation Team (SIT) constituted to probe the blasts succeeded in arresting two LeT operatives, identified as Irfan Ashraf Dar and Ali Mohammad, both residents of Reban Sopore in Baramulla District. Later, one more LeT operative, identified as Tariq, was arrested. Police also arrested one Khalid Ahmad Bhat alias Sajad son of Haji Ghulam Hassan resident of Nagam Chadoora in Budgam District in connection with the twin blasts at Baramulla and Batamaloo. The DIG said that Haji Ghulam Hassan is an active worker of All Party Hurriyat Conference Geelani (APHC G). Mir also said, The face of militancy in the Kashmir has changed and it has been observed that operatives these days carry out militant activities along with their normal work. It has been observed that the module would find soft targets in colleges and then lure these college students towards militant activities. Nobody would doubt these students since they were regular in their studies. He said that investigations in Delhi High Court blast have also established the fact that college students are involved in militant activities like blasts. He said that provocative videos on social networking sites like You Tube lure youth towards militancy, adding that two of the five arrested persons were driven towards militancy by this reason only."
auaN2aFeXj92JSda8P1BL3cMcCJe-news_satp_13.tsv_484,48806,FALSE,[],[],[],,[],[],pakistan,2012,"A rickshaw driver, also a Peoples Aman Committee (PAC) supporter, was gunned down near Baloch Masjid area of Teen Hatti. The duty officer at the Super Market police station, Younus said Inayat Baloch was passing through a street in the evening when two men on a motorcycle shot him. The deceased suffered two bullets wounds on his chest. The police found empty bullet shells of 9mm pistol at the murder scene. The deceased was a resident of Ilyas Goth."
a5CwZ_tDcnVt.LlM.NKbIAZjJB6O-news_satp_13.tsv_456,19629,FALSE,[],[],[],,[],[],pakistan,2014,"The Government and the Army both saw the Tehreek e Taliban Pakistan (TTP) as an existential threat to their State and were committed to dealing with it, the commander of US and international forces in Afghanistan informed Congress on March 12, reports Dawn. General Joseph Dunford also told the Senate Armed Services Committee that Prime Minister Nawaz Sharif was committed to talks with the TTP but its not clear if conditions were right for a constructive engagement with the TTP. At a hearing on the current situation in Afghanistan, General Dunford said the US military could wait till August for a bilateral security agreement with Kabul after which it would start preparing for a withdrawal from that country, if a pact was not signed. During the hearing, Democratic Senator Jeanne Shaheen asked the general to explain how the situation in Pakistan could affect what happens in Afghanistan. I find it difficult to envision success in the region without cooperation of Pakistan and without an effective relationship between Afghanistan and Pakistan, General Dunford said. I believe that Pakistan also recognises the existential threat of extremism to their own security, and they also recognise that its not in their best interest to have anything other than a stable, secure and unified Afghanistan. He noted that since August, Pakistani and Afghan rulers had met four times, indicating that Prime Minister Sharif had come to a new resolve to improve the relationship with the neighbouring country. This cooperation focused on two areas to have a common definition of extremism and cooperate on dealing with it and to come up with a broader border management framework that would address the political, economic and security issues between the two countries, he added."
